Title,IMDb Rating,Year,Genre,Director
"""Giliap""",6.3,1975,Crime,Roy Andersson
"""Swing it"" magistern",6.1,1940,Comedy,Schamyl Bauman
"""Vinden blåser vart den vill""",5.3,2017,Drama,Kim Ekberg
#1 Serial Killer,5.4,2013,Horror,Stanley Yung
#1915House,6.2,2018,Horror,Justin DiPego
#5,6.1,2013,Biography,Ricky Bardy
#66,6,2015,Action,Asun Mawardi
#69 Samskar Colony,8.4,2022,Romance,Suneel Kumar Reddy
#73 Shaanthi Nivaasa,7.2,2007,Drama,Sudeep
#AnneFrank - Parallel Stories,6.5,2019,Drama,Sabina Fedeli
#BKKY,7,2016,Drama,Nontawat Numbenchapol
#Beings,5.4,2015,Thriller,Andrei Stefanescu
#BerhentiDiKamu,5.2,2021,Drama,Indra Gunawan
#Captured,4.8,2017,Horror,Joe Homokay
#CoEdConfessions,5.7,2017,Comedy,William Cardoza
#DigitalLivesMatter,6.8,2016,Comedy,Terri J. Vaughn
#Enough,3.1,2015,Drama,Miranda Ferguson
#Ewankosau saranghaeyo,8.5,2015,Drama,Roman Perez Jr.
#Followme,3.6,2019,Horror,Sam Hardy
#Franglais,7.5,2020,Comedy,Félix Guimard
#Gadhvi (He thought he was Gandhi),7.3,2019,Drama,Gaurav Bakshi
#HandoZenryoku,5.4,2020,Drama,Daigo Matsui
#Home,9,2021,Drama,Rojin Thomas
#Homecoming,7.6,2022,Drama,Soumyajit Majumdar
#Horror,3,2015,Crime,Tara Subkoff
#Jestem M. Misfit,2.5,2019,Comedy,Marcin Ziebinski
#Jowable,5.7,2019,Comedy,Darryl Yap
#LANDoftheBRAVEfilm,7.8,2019,Thriller,Tim Huebschle
#Like,4.8,2019,Thriller,Sarah Pirozek
#Lucky Number,5,2015,Comedy,Brendan Gabriel Murphy
#Malam Jumat: The Movie,5.3,2019,Horror,Hadrah Daeng Ratu
#Modus,4.6,2016,Comedy,Adhe Dharmastriya
#Moscou-Royan,4.3,2018,Comedy,Elena Kizilova
#MoveOnAja,5.9,2019,Comedy,Hestu Saputra
#Nerealnaya lyubov,2.9,2014,Comedy,Arman Gevorgyan
#Nudes,5.3,2020,Comedy,Guily Machovec
#Odindenleta,3.9,2018,Comedy,Aleksandr Igudin
#Realityhigh,5.1,2017,Comedy,Fernando Lebrija
#Realmovie,5.6,2013,Drama,Pablo Maqueda
#Roxy,5.1,2018,Comedy,Michael Kennedy
#Saraitda,6.3,2020,Action,Il Cho
#Screamers,4.3,2016,Horror,Dean Matthew Ronalds
#Selfieparty,5.2,2016,Action,Lyubomyr Levytsky
#Sequence,7.4,2013,Comedy,Borja Crespo
#Slaughterhouse,6.8,2020,Action,Dino Maglaris
